participant,video_id,band,frontal_asymmetry,parietal_mean,negativity_rating,positivity_rating,net_predisposition_rating,negativity_type,positivity_type,net_predisposition_type
3I6EY,aem,delta,-0.6493850519072204,11.802945823366013,5.434375,5.48125,8.6875,HN,HP,HNP
3I6EY,aem,theta,1.2527905164158426,29.91487938898377,5.434375,5.48125,8.6875,HN,HP,HNP
3I6EY,aem,alpha,-0.07976391915325998,9.992034027155526,5.434375,5.48125,8.6875,HN,HP,HNP
3I6EY,aem,beta,-0.25136746864992965,13.224484562100429,5.434375,5.48125,8.6875,HN,HP,HNP
3I6EY,aem,gamma,-0.22893616799141014,31.166334277236942,5.434375,5.48125,8.6875,HN,HP,HNP
3I6EY,mcm,delta,1.777415329968946,18.70451185327988,1.0937500000000002,9.86875,1.16875,LN,HP,LNP
3I6EY,mcm,theta,0.860792078942449,31.148725934003945,1.0937500000000002,9.86875,1.16875,LN,HP,LNP
3I6EY,mcm,alpha,-1.086972545108603,9.886835899655907,1.0937500000000002,9.86875,1.16875,LN,HP,LNP
3I6EY,mcm,beta,0.08349485825473302,9.81230682966278,1.0937500000000002,9.86875,1.16875,LN,HP,LNP
3I6EY,mcm,gamma,-1.88673802158538,25.770366131146368,1.0937500000000002,9.86875,1.16875,LN,HP,LNP
3I6EY,cah,delta,-0.6956613502714024,13.435499081787293,8.06875,3.128125,3.2875,HN,LP,LNP
3I6EY,cah,theta,0.5884254184632631,25.342370236031357,8.06875,3.128125,3.2875,HN,LP,LNP
3I6EY,cah,alpha,-0.4412052320276665,12.358900842806172,8.06875,3.128125,3.2875,HN,LP,LNP
3I6EY,cah,beta,0.06718722504627905,16.348520495438088,8.06875,3.128125,3.2875,HN,LP,LNP
3I6EY,cah,gamma,0.564793884735387,29.280201395814164,8.06875,3.128125,3.2875,HN,LP,LNP
3I6EY,tsd,delta,-1.2907745542301985,11.455228206051924,5.715624999999999,5.359375,3.175,HN,HP,LNP
3I6EY,tsd,theta,-0.4917449823011033,23.33607812380539,5.715624999999999,5.359375,3.175,HN,HP,LNP
3I6EY,tsd,alpha,0.2965559820090409,8.885209405958495,5.715624999999999,5.359375,3.175,HN,HP,LNP
3I6EY,tsd,beta,0.5678913758203876,21.45022614233708,5.715624999999999,5.359375,3.175,HN,HP,LNP
3I6EY,tsd,gamma,1.4357473410847739,30.16282217019107,5.715624999999999,5.359375,3.175,HN,HP,LNP
3I6EY,mar,delta,-0.9781090156753338,9.493486166986262,2.209375,8.040624999999999,1.88125,LN,HP,LNP
3I6EY,mar,theta,0.8082924764600499,29.524605586830702,2.209375,8.040624999999999,1.88125,LN,HP,LNP
3I6EY,mar,alpha,0.048099288158281794,8.771214177101804,2.209375,8.040624999999999,1.88125,LN,HP,LNP
3I6EY,mar,beta,0.01781076764930134,18.746587890130897,2.209375,8.040624999999999,1.88125,LN,HP,LNP
3I6EY,mar,gamma,0.34733541125799405,29.126256417960946,2.209375,8.040624999999999,1.88125,LN,HP,LNP
6HARB,jmi,delta,0.26223637261268884,4.539819238388535,1.4125,9.68125,1.5812499999999998,LN,HP,LNP
6HARB,jmi,theta,-0.8591178997246693,21.321049507981627,1.4125,9.68125,1.5812499999999998,LN,HP,LNP
6HARB,jmi,alpha,0.3971050542721599,17.33178688836791,1.4125,9.68125,1.5812499999999998,LN,HP,LNP
6HARB,jmi,beta,0.416182935819009,26.80384177595537,1.4125,9.68125,1.5812499999999998,LN,HP,LNP
6HARB,jmi,gamma,-0.17271419803417842,28.516173116026387,1.4125,9.68125,1.5812499999999998,LN,HP,LNP
6HARB,ndp,delta,0.027426844067981015,3.7545202418038954,6.45625,4.80625,7.309375,HN,LP,HNP
6HARB,ndp,theta,0.06654975940877073,16.369506416298172,6.45625,4.80625,7.309375,HN,LP,HNP
6HARB,ndp,alpha,0.3221910006077273,25.296001649437237,6.45625,4.80625,7.309375,HN,LP,HNP
6HARB,ndp,beta,-0.061842389378281126,25.727629639944254,6.45625,4.80625,7.309375,HN,LP,HNP
6HARB,ndp,gamma,-0.3296491879846428,27.79018666890582,6.45625,4.80625,7.309375,HN,LP,HNP
6HARB,dph,delta,0.21503449472141423,4.187363917961901,9.840625,1.5156250000000002,9.578125,HN,LP,HNP
6HARB,dph,theta,-0.7427770513412373,16.703050244789175,9.840625,1.5156250000000002,9.578125,HN,LP,HNP
6HARB,dph,alpha,0.17711715765579683,19.099615850273928,9.840625,1.5156250000000002,9.578125,HN,LP,HNP
6HARB,dph,beta,0.1869889524577495,28.13768349522597,9.840625,1.5156250000000002,9.578125,HN,LP,HNP
6HARB,dph,gamma,0.19193178957062074,30.373092323712306,9.840625,1.5156250000000002,9.578125,HN,LP,HNP
6HARB,jbg,delta,-0.10427098272969237,2.392722924760651,4.262499999999999,5.6125,6.268750000000001,LN,HP,HNP
6HARB,jbg,theta,2.4093064815435064,15.37549901464427,4.262499999999999,5.6125,6.268750000000001,LN,HP,HNP
6HARB,jbg,alpha,-0.633715178753036,22.791913163438977,4.262499999999999,5.6125,6.268750000000001,LN,HP,HNP
6HARB,jbg,beta,-1.7873056065252406,29.641941591337897,4.262499999999999,5.6125,6.268750000000001,LN,HP,HNP
6HARB,jbg,gamma,0.1357363704156178,28.697040599873002,4.262499999999999,5.6125,6.268750000000001,LN,HP,HNP
6HARB,gam,delta,0.13908553519136913,2.5700747175582546,4.271875,6.4375,3.71875,LN,HP,LNP
6HARB,gam,theta,-0.07208467552007214,15.05626060623917,4.271875,6.4375,3.71875,LN,HP,LNP
6HARB,gam,alpha,0.6046693655793867,26.393913684490947,4.271875,6.4375,3.71875,LN,HP,LNP
6HARB,gam,beta,-0.34537637310330993,23.22521509127324,4.271875,6.4375,3.71875,LN,HP,LNP
6HARB,gam,gamma,-0.26617496513267014,30.88045317033223,4.271875,6.4375,3.71875,LN,HP,LNP
6HARB,mcm,delta,-1.0950445424145623,3.354792689638402,2.3875,7.365625,1.534375,LN,HP,LNP
6HARB,mcm,theta,-1.6681257478418665,13.382223168286995,2.3875,7.365625,1.534375,LN,HP,LNP
6HARB,mcm,alpha,-2.8912249143631126,15.031604723935061,2.3875,7.365625,1.534375,LN,HP,LNP
6HARB,mcm,beta,3.713554100523478,31.14390324793856,2.3875,7.365625,1.534375,LN,HP,LNP
6HARB,mcm,gamma,2.0384990767269926,35.22712443451411,2.3875,7.365625,1.534375,LN,HP,LNP
6HARB,goc,delta,-1.1080700881626822,2.7383131716722406,9.5875,1.4968750000000002,9.5125,HN,LP,HNP
6HARB,goc,theta,-5.572212204672194,14.524785374262823,9.5875,1.4968750000000002,9.5125,HN,LP,HNP
6HARB,goc,alpha,4.138733014917424,16.89976903212986,9.5875,1.4968750000000002,9.5125,HN,LP,HNP
6HARB,goc,beta,3.451660367510673,34.96346713368403,9.5875,1.4968750000000002,9.5125,HN,LP,HNP
6HARB,goc,gamma,-0.5466397819600815,29.860323186576203,9.5875,1.4968750000000002,9.5125,HN,LP,HNP
6HARB,tsd,delta,1.4565369431218858,4.129595779944903,2.809375,7.609375,2.63125,LN,HP,LNP
6HARB,tsd,theta,-1.0979498005861714,18.659481021562595,2.809375,7.609375,2.63125,LN,HP,LNP
6HARB,tsd,alpha,2.441405123215688,15.199667640349167,2.809375,7.609375,2.63125,LN,HP,LNP
6HARB,tsd,beta,-4.513308786211638,31.293838139983954,2.809375,7.609375,2.63125,LN,HP,LNP
6HARB,tsd,gamma,2.3683695900787214,29.379067187356178,2.809375,7.609375,2.63125,LN,HP,LNP
6HARB,bls,delta,-2.7318456037253886,5.000751893511254,2.4625,8.490625,2.565625,LN,HP,LNP
6HARB,bls,theta,0.3471528047351633,42.05815372064545,2.4625,8.490625,2.565625,LN,HP,LNP
6HARB,bls,alpha,-3.5780848243213583,7.79016255504334,2.4625,8.490625,2.565625,LN,HP,LNP
6HARB,bls,beta,-13.54444281037623,18.273458699596475,2.4625,8.490625,2.565625,LN,HP,LNP
6HARB,bls,gamma,20.543820069791145,25.65191603453385,2.4625,8.490625,2.565625,LN,HP,LNP
6HARB,bbs,delta,0.0258391831914202,3.036709739771069,9.334375,1.7875,9.56875,HN,LP,HNP
6HARB,bbs,theta,-1.0335754485547088,9.821000818072337,9.334375,1.7875,9.56875,HN,LP,HNP
6HARB,bbs,alpha,-3.271997795105019,18.871253370720943,9.334375,1.7875,9.56875,HN,LP,HNP
