participant,gender,video_id,second,band,frontal_asymmetry,parietal_mean,negativity_rating,positivity_rating,net_predisposition_rating
SDE14,Female,blf,51,alpha,-2.6662650834160466,10.960496666450096,1.665625,3.540625,5.678125
SDE14,Female,blf,52,alpha,-1.9944276760115471,10.995282807507497,1.665625,3.540625,5.678125
SDE14,Female,blf,53,alpha,-0.7632562529049896,11.34823313123097,1.665625,3.540625,5.678125
SDE14,Female,blf,54,alpha,0.10965704711221491,11.748317062942053,1.665625,3.540625,5.678125
SDE14,Female,blf,55,alpha,0.2199532435380167,11.857679605942693,1.665625,3.540625,5.678125
SDE14,Female,blf,56,alpha,-0.054081947694429644,11.541347718967314,1.665625,3.540625,5.678125
SDE14,Female,blf,57,alpha,-0.2124378878244304,11.22986925872013,1.665625,3.540625,5.678125
SDE14,Female,blf,58,alpha,0.001420283381936116,11.508993641308274,1.665625,3.540625,5.678125
SDE14,Female,blf,59,alpha,0.07996590702582695,3.414845737814339,1.665625,3.540625,5.678125
SDE14,Female,blf,0,beta,1.8348592448743695,29.714232357446342,1.665625,3.540625,5.678125
SDE14,Female,blf,1,beta,1.3146291885708763,35.39123247089947,1.665625,3.540625,5.678125
SDE14,Female,blf,2,beta,1.9355064707866987,37.92738927405814,1.665625,3.540625,5.678125
SDE14,Female,blf,3,beta,2.428923789971037,38.22578827566479,1.665625,3.540625,5.678125
SDE14,Female,blf,4,beta,2.4058712129734943,38.396118576300125,1.665625,3.540625,5.678125
SDE14,Female,blf,5,beta,2.1333480871338395,38.57664593758629,1.665625,3.540625,5.678125
SDE14,Female,blf,6,beta,2.0195491329168433,38.81126927006726,1.665625,3.540625,5.678125
SDE14,Female,blf,7,beta,2.407086091959812,39.13134303368169,1.665625,3.540625,5.678125
SDE14,Female,blf,8,beta,3.1375657817130147,39.39520899242288,1.665625,3.540625,5.678125
SDE14,Female,blf,9,beta,3.7410164103730565,39.419561521269806,1.665625,3.540625,5.678125
SDE14,Female,blf,10,beta,4.038387661879007,39.159214339164215,1.665625,3.540625,5.678125
SDE14,Female,blf,11,beta,4.024630807051736,38.87974620863107,1.665625,3.540625,5.678125
SDE14,Female,blf,12,beta,3.684020032443371,39.00387190286661,1.665625,3.540625,5.678125
SDE14,Female,blf,13,beta,3.2565702131955945,39.589295024912204,1.665625,3.540625,5.678125
SDE14,Female,blf,14,beta,3.1576494969697677,40.222293918203846,1.665625,3.540625,5.678125
SDE14,Female,blf,15,beta,3.653605637857275,40.421733693847095,1.665625,3.540625,5.678125
SDE14,Female,blf,16,beta,4.0849775309087235,40.13582168592283,1.665625,3.540625,5.678125
SDE14,Female,blf,17,beta,3.475090601987006,39.67224538441864,1.665625,3.540625,5.678125
SDE14,Female,blf,18,beta,1.9684792368370978,39.44039904021329,1.665625,3.540625,5.678125
SDE14,Female,blf,19,beta,0.677597223884483,39.691495814540986,1.665625,3.540625,5.678125
SDE14,Female,blf,20,beta,0.5677180699718107,40.271238984866,1.665625,3.540625,5.678125
